,date,ticker,name,action,cik
301,2011-10-14,TEL,TE Connectivity,added,
302,2011-09-23,MOS,The Mosaic Company,added,
302,2011-09-23,NSM,National Semiconductor,removed,
303,2011-07-05,ACN,Accenture,added,
303,2011-07-05,MI,Marshall & Ilsley,removed,
205,2011-07-01,FCX,Freeport-McMoRan,added,0000831259
304,2011-06-30,MPC,Marathon Oil,added,
304,2011-06-30,RSH,RadioShack,removed,
305,2011-06-01,ANR,Alpha Natural Resources,added,
305,2011-06-01,MEE,Massey Energy,removed,
306,2011-04-27,CMG,Chipotle Mexican Grill,added,
306,2011-04-27,NOVL,Novell,removed,
307,2011-04-01,BLK,BlackRock,added,
307,2011-04-01,GENZ,Genzyme,removed,
308,2011-03-31,EW,Edwards Lifesciences,added,
308,2011-03-31,Q,Qwest Communications,removed,
309,2011-02-28,COV,Covidien,added,
309,2011-02-28,MFE,McAfee,removed,
310,2011-02-25,AYE,Allegheny Energy,removed,
310,2011-02-25,JOYG,Joy Global,added,
311,2011-01-03,MDP,Meredith Corp,removed,
311,2011-01-03,MMI,Motorola Mobility,added,
312,2010-12-17,CVC,Cablevision,added,
313,2010-12-17,EK,Eastman Kodak,removed,
313,2010-12-17,FFIV,F5 Networks,added,
312,2010-12-17,KG,King Pharmaceuticals,removed,
314,2010-12-17,NFLX,Netflix,added,
315,2010-12-17,NFX,Newfield Exploration,added,
315,2010-12-17,NYT,The New York Times Company,removed,
314,2010-12-17,ODP,Office Depot,removed,
316,2010-11-17,IR,Ingersoll-Rand,added,
316,2010-11-17,PTV,Pactiv,removed,
449,2010-11-17,TT,Trane Technologies,added,0001466258
266,2010-08-27,JCI,Johnson Controls,added,0000833444
317,2010-08-26,SII,Smith International,removed,
317,2010-08-26,TYC,Tyco International,added,
318,2010-07-14,CB,Chubb,added,
318,2010-07-14,MIL,Millipore,removed,
319,2010-06-30,QEP,QEP Resources,added,
319,2010-06-30,STR,Questar,removed,
320,2010-06-28,KMX,CarMax,added,
320,2010-06-28,XTO,XTO Energy,removed,
321,2010-04-29,BJS,BJ Services,removed,
321,2010-04-29,CERN,Cerner,added,
355,2010-03-15,OKE,Oneok,added,0001039684
322,2010-02-26,HP,Helmerich & Payne,added,
322,2010-02-26,RX,IMS Health,removed,
59,2010-02-16,BRK.B,Berkshire Hathaway,added,0001067983
345,2010-01-29,NRG,NRG Energy,added,0001013871
402,2009-12-23,ROP,Roper Technologies,added,0000882835
323,2009-12-18,CIEN,Ciena,removed,
325,2009-12-18,CLF,Cliffs Natural Resources,added,
326,2009-12-18,CVG,Convergys,removed,
324,2009-12-18,DYN,Dynegy,removed,
325,2009-12-18,KBH,KB Home,removed,
327,2009-12-18,MBI,MBIA,removed,
324,2009-12-18,MJN,Mead Johnson Nutrition,added,
327,2009-12-18,ROST,Ross Stores,added,
326,2009-12-18,SAI,SAIC,added,
323,2009-12-18,V,Visa,added,
68,2009-11-06,BKNG,Booking Holdings,added,0001075531
328,2009-11-03,PCLN,Priceline.com,added,
328,2009-11-03,SGP,Schering-Plough,removed,
329,2009-09-28,ARG,Airgas,added,
329,2009-09-28,CBE,Cooper Industries,removed,
330,2009-08-19,CTX,Centex Corp.,removed,
330,2009-08-19,FMC,FMC Corporation,added,
181,2009-07-24,ES,Eversource Energy,added,0000072741
387,2009-07-01,PWR,Quanta Services,added,0001050915
490,2009-07-01,WDC,Western Digital,added,0000106040
331,2009-06-29,PCS,MetroPCS,added,
332,2009-06-25,TEL,TE Connectivity,removed,
333,2009-06-05,COV,Covidien,removed,
333,2009-06-05,FTI,FMC Technologies,added,
350,2009-03-27,ORLY,O’Reilly Automotive,added,0000898173
334,2009-03-03,ACAS,American Capital,removed,
334,2009-03-03,HRL,Hormel Foods,added,
335,2009-03-03,JNY,Jones Apparel Group,removed,
335,2009-03-03,VTR,Ventas,added,
488,2009-01-30,WELL,Welltower,added,0000766704
260,2009-01-06,IRM,Iron Mountain,added,0001020569
336,2008-12-31,OI,Owens-Illinois,added,
336,2008-12-31,WB,Wachovia Bank,removed,
397,2008-12-05,RSG,Republic Services,added,0001060391
496,2008-11-14,WYNN,Wynn Resorts,added,0001174922
415,2008-11-06,SJM,J.M. Smucker Company (The),added,0000091419
486,2008-10-31,WEC,WEC Energy Group,added,0000783325
331,2008-10-22,NDAQ,"Nasdaq, Inc.",added,0001120193
33,2008-09-30,APH,Amphenol,added,0000820313
